City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
shetpe,53,KZ,1579758217,86,44.17,52.12,276.43,3.86
tynda,100,RU,1579758217,90,55.17,124.72,250.06,3.49
calama,90,CL,1579758217,93,-22.47,-68.93,286.15,4.6
san quintin,100,ML,1579758217,22,13.3,-4.9,297.77,3.93
kamenka,97,RU,1579758218,92,51.32,42.77,272.04,2.68
luba,20,GQ,1579758218,88,3.46,8.55,299.15,1.5
axim,98,GH,1579758218,94,4.87,-2.24,297.89,0.92
mountain home,82,CO,1579758015,75,13.37,-81.37,298.39,9.21
sturgeon falls,75,US,1579758219,68,40.38,-80.21,271.48,1.39
beian,75,NO,1579758219,81,63.66,9.57,281.15,18.5
san pedro,100,ML,1579758154,22,13.3,-4.9,297.77,3.93
hofn,84,IS,1579758219,63,64.25,-15.21,275.78,21.46
upernavik,100,GL,1579758220,93,72.79,-56.15,254.55,3.48
manta,90,EC,1579758220,83,-0.95,-80.73,299.15,3.6
riyadh,75,SA,1579758200,39,24.69,46.72,283.15,3.6
coquimbo,41,CL,1579758220,93,-29.95,-71.34,289.15,2.6
phonhong,60,LA,1579758221,48,18.5,102.42,304.15,1.0
caravelas,100,BR,1579758221,88,-17.71,-39.25,298.2,11.13
lincoln,90,US,1579758114,100,40.8,-96.67,274.82,1.52
nuuk,100,GL,1579758221,85,64.18,-51.72,265.15,7.7
port elizabeth,100,CD,1579758222,68,-7.03,29.76,298.42,2.69
souillac,75,MU,1579758222,94,-20.52,57.52,301.48,1.5
leningradskiy,53,RU,1579758222,86,69.38,178.42,243.19,2.04
kodiak,1,US,1579758222,49,57.79,-152.41,268.15,4.6
sidi ali,100,CF,1579758223,23,5.08,19.88,293.34,1.67
nuevo progreso,1,US,1579758223,93,33.8,-117.15,287.15,1.54
sakaiminato,75,JP,1579758223,100,35.55,133.23,285.15,2.1
suez,0,EG,1579758224,69,29.97,32.53,282.56,0.86
port antonio,100,CD,1579758224,68,-7.03,29.76,298.42,2.69
tuatapere,31,NZ,1579758224,78,-46.13,167.68,289.82,5.36
katsuura,75,JP,1579758225,93,35.13,140.3,280.37,2.1
makakilo city,1,US,1579758225,77,21.35,-158.09,297.15,0.88
portland,90,US,1579757947,93,45.52,-122.68,284.82,5.1
